idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
64,ok,0.047045,0.0107211,6.04577,0.0458865,0.106575,0.248228,0.354858,0.0116164,0.0136889,0.0726573,-0.00182387,0.00763035,1.1946,18.5,queda,1,41,6,23,0.11467,-0.0193029,-0.168333,1,0.5,0.306741,0.355144,0.278539,0.183747,-0.146431,-0.447605,-0.345667,-0.183402
65,ok,0.0768926,0.0733977,6.98981,0.0760105,0.156938,0.231683,0.232087,0.0115697,-0.0108983,0.622442,-0.00626542,0.0426903,1.8472,19,queda,1,59,2,30,0.120069,-0.00972,-0.0809533,1,0.5,0.392154,0.263786,0.161004,0.150643,-0.383139,-0.259493,-0.286699,-0.232094
66,ok,0.0244043,0.082309,4.53023,0.0617426,0.12997,0.209773,0.276511,0.0151098,-0.0167496,0.0864597,-0.00160104,0.00592193,1.6693,21,queda,1,59,2,30,0.101311,-0.04082,-0.402918,1,0.5,0.220927,0.305745,0.171146,0.262515,-0.405731,-0.220879,-0.278191,-0.25046
67,ok,0.0739276,0.0170828,6.80214,0.056414,0.121525,0.229633,0.354858,0.016995,0.0171313,0.0736799,0.00466552,-0.0444997,1.4295,18.5,queda,1,51,6,30,0.0948737,0.00786,0.082847,1,0.5,0.384519,0.233906,0.318839,0.346595,-0.184839,-0.35093,-0.339144,-0.216139
68,ok,0.0256973,0.0593461,4.19803,0.0560329,0.116181,0.185433,0.305036,0.0140824,0.0174879,0.793893,0.0165001,-0.144075,2.0918,22.5,queda,1,61,0,30,0.101386,-0.0323,-0.318585,1,0.5,0.226704,0.184411,0.260716,0.433488,-0.344517,-0.209278,-0.275999,-0.0338615
69,descartado_t_max,0.0829786,0.0764641,7.89302,0.079016,0.169352,0.302949,0.315938,0.0124969,0.00989165,0.702172,0.00841756,-0.0709561,,,,,,,,,,,,,,,,,,,,
70,ok,0.0446528,0.0195204,6.23196,0.0497491,0.11165,0.245877,0.377558,0.0176238,0.0205882,0.230431,-0.00289946,0.0267556,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.29884,0.435861,0.331251,0.256413,-0.197587,-0.265707,-0.35976,-0.326053
71,ok,0.0692356,0.0610539,6.21011,0.0702416,0.141385,0.200211,0.253978,0.0163724,0.0148776,0.774511,0.0135199,-0.114006,2.2291,24,queda,1,58,3,30,0.101581,-0.0454,-0.446933,1,0.5,0.372117,0.122105,0.338156,0.422298,-0.349439,-0.190778,-0.294673,-0.120643
72,ok,0.018053,0.0523133,4.28491,0.0513356,0.11399,0.225401,0.33248,0.017539,0.014131,0.628145,0.00799195,-0.0540294,1.6707,24,queda,1,57,4,30,0.0629648,-0.04948,-0.785835,1,0.5,0.190016,0.358447,0.3179,0.351,-0.32346,-0.327718,-0.160481,-0.248273
73,ok,0.0459292,0.0258306,5.70694,0.0525677,0.112977,0.188973,0.264302,0.00786116,0.0199477,0.725244,0.0167877,-0.13745,2.1103,18.5,queda,1,57,4,30,0.120807,-0.0247657,-0.205003,1,0.5,0.303081,0.28334,0.185108,0.307872,-0.227291,-0.27034,-0.113379,0.0478597
74,ok,0.0171829,0.0805395,3.43592,0.0577463,0.121041,0.191992,0.273005,0.0175012,-0.0302742,0.169344,0.00385958,-0.0292379,1.8451,23,queda,1,55,2,28,0.0954496,-0.01318,-0.138083,1,0.5,0.18538,0.149802,0.242478,0.332219,-0.401347,-0.322275,-0.146954,-0.2746
75,ok,0.0407477,0.00858178,4.91427,0.0416273,0.0926635,0.203307,0.377558,0.00995305,0.0196487,0.767913,0.0172569,-0.138592,1.7746,20,queda,1,57,3,30,0.101389,0.0079,0.0779177,1,0.5,0.285474,0.124563,0.420142,0.31888,-0.13101,-0.425422,-0.231337,0.0148119
76,ok,0.0612121,0.0178585,6.76794,0.0539658,0.120637,0.247079,0.336185,0.0129483,0.0163394,0.103722,0.0102943,-0.0941751,1.5202,19,queda,1,47,8,29,0.103553,0.00681538,0.0658156,1,0.5,0.349892,0.372925,0.267599,0.347426,-0.18899,-0.377215,-0.332365,-0.0711976
