idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
43,ok,0.0109338,0.0184742,3.29054,0.0341446,0.0771126,0.168846,0.35298,0.00569593,0.0220483,0.718205,0.0180843,-0.14585,2.0056,19.5,queda,1,51,2,26,0.11592,-0.14308,-1.2343,1,0.5,0.147877,0.263911,0.29338,0.266557,-0.19222,-0.237944,-0.192363,0.103652
44,ok,0.0170946,0.0105999,3.30347,0.0327397,0.0703322,0.123833,0.308658,0.00988022,0.00838241,0.792302,0.00782918,-0.0667444,2.0346,19.5,queda,1,58,3,30,0.11402,0.01418,0.124364,1,0.5,0.184903,0.121374,0.151868,0.256839,-0.145601,-0.216549,-0.119995,-0.0806659
45,ok,0.0131989,0.0273962,2.81768,0.0384224,0.0759052,0.100281,0.207698,0.00903303,0.00810588,0.558769,0.0030409,-0.0171865,2.0212,19.125,queda,1,282,5,27.75,0.11389,0.02384,0.209324,3,0.125,0.162474,0.078244,0.213857,0.160804,-0.234078,-0.0316471,-0.125693,-0.139829
46,ok,0.0217573,0.0159294,4.1779,0.0380778,0.0799804,0.143781,0.362391,0.00639428,0.0194004,0.323263,0.00836708,-0.0704125,2.0264,20,queda,1,57,3,30,0.1158,-0.06664,-0.575475,1,0.5,0.208601,0.256281,0.242003,0.19233,-0.17849,-0.0455519,-0.283534,0.0068418
47,ok,0.00421521,0.015407,1.94789,0.0267725,0.0596975,0.116619,0.326941,0.0138168,-0.0134587,0.202939,0.00402705,-0.0372129,1.1748,12,queda,1,29,3,15.5,0.107952,-0.10818,-1.00212,1,0.5,0.0918173,0.1436,0.0879109,0.298116,-0.175539,-0.229171,-0.091486,-0.192934
48,ok,0.0156831,0.012845,3.24114,0.0334269,0.0718927,0.129184,0.321427,0.00979425,-0.0103378,0.402455,0.00741746,-0.0804062,1.9915,20,queda,1,59,2,30,0.115409,0.02176,0.188547,1,0.5,0.177105,0.142029,0.0718298,0.299962,-0.160281,-0.204491,-0.239764,-0.0306359
49,ok,0.0100907,0.0337239,2.6113,0.0391126,0.078748,0.11254,0.276511,0.0119174,0.0176208,0.633829,0.0106323,-0.0746042,1.9374,19,queda,1,47,2,24,0.103974,-0.31886,-3.06674,1,0.5,0.142061,0.103487,0.268695,0.27879,-0.259707,-0.0712028,-0.0883371,-0.126262
50,ok,0.0185556,0.0035665,3.57159,0.0273254,0.0580817,0.129765,0.48037,0.0130509,0.0151046,0.182803,0.00354195,-0.0288564,1.6137,16,queda,1,33,1,16.5,0.0906923,-0.07054,-0.777795,1,0.5,0.192643,0.156276,0.24897,0.255696,-0.0844571,-0.0816313,-0.253799,-0.177298
51,ok,0.0272046,0.020232,4.01917,0.042186,0.0840567,0.113157,0.207698,0.00657129,0.0098362,0.328785,0.000390076,0.00278302,2.1247,19.5,queda,1,60,1,30,0.118574,0.000142857,0.0012048,1,0.5,0.233258,0.112422,0.197005,0.0930889,-0.201157,-0.0408706,-0.149093,-0.11613
52,ok,0.0261577,0.0163622,3.87705,0.0399756,0.0811515,0.114819,0.22385,0.00621726,0.0119701,0.774511,0.0109476,-0.0934325,2.2572,20,queda,1,60,1,30,0.118899,0.00466,0.039193,1,0.5,0.228726,0.0954318,0.147209,0.227395,-0.180899,-0.117246,-0.13429,0.0253476
53,ok,0.0224466,0.00791497,3.83813,0.0333333,0.0708389,0.130552,0.371855,0.0112478,0.00895916,0.109785,-0.000218434,0.000990894,1.7216,18,queda,1,50,3,26.5,0.106076,-0.00692,-0.0652361,1,0.5,0.21188,0.152386,0.194266,0.188256,-0.125817,-0.150793,-0.206215,-0.187696
54,ok,0.00300529,0.0114154,1.44946,0.0229816,0.0519217,0.105258,0.328785,0.0114457,-0.0214008,0.252271,0.00715928,-0.0633568,0.8941,8.75,queda,1,115,5,9.25,0.111595,-0.0276837,-0.248073,3,0.125,0.0775279,0.0659162,0.100902,0.286505,-0.151099,-0.282814,-0.0597362,-0.119034
55,descartado_t_min,0.00485168,0.00284884,1.96439,0.0172988,0.0379242,0.0873221,0.404381,0.00146395,0.0120815,0.607155,0.00765742,-0.0564337,,,,,,,,,,,,,,,,,,,,
56,ok,0.0216141,0.00691649,4.02592,0.0320681,0.0675751,0.113901,0.306846,0.0051795,0.0218497,0.30323,0.0141225,-0.118347,2.0218,17,queda,1,58,2,30,0.117814,0.01572,0.13343,1,0.5,0.207914,0.222963,0.155196,0.241731,-0.117614,-0.0479217,-0.170757,0.0822318
57,ok,0.0230679,0.00185807,4.40785,0.0280575,0.0663215,0.168509,0.373754,0.00644027,0.0187471,0.157726,-0.000724967,0.0133693,nan,nan,vazia,0,0,0,nan,nan,nan,nan,2,0.25,0.214792,0.291508,0.274611,0.0671908,-0.0609602,-0.242553,-0.211708,-0.122985
58,ok,0.00210172,0.0141091,1.35278,0.0233949,0.0529079,0.110926,0.33248,0.0043598,-0.0188399,0.185849,0.00813187,-0.0593952,0.7751,8,queda,1,25,1,13.5,0.105032,0.02458,0.234023,1,0.5,0.0648339,0.0854984,0.214856,0.127379,-0.167983,-0.265957,-0.0461484,-0.00776912
59,ok,0.0195145,0.003194,3.97656,0.027924,0.0636533,0.149182,0.375655,0.00588519,0.0217317,0.71289,0.0182386,-0.150563,1.3948,8.625,falha_conv,0,116,3,8.625,0.114236,0.1032,0.903396,3,0.125,0.197558,0.246081,0.259428,0.284034,-0.0799249,-0.185212,-0.208749,0.112308
60,ok,0.00245102,0.020032,1.96285,0.0268949,0.058798,0.110113,0.325101,0.0102901,-0.00965922,0.0544967,-0.00228343,0.0253422,0.8705,8.5,queda,1,21,2,12,0.110645,-0.0484941,-0.438284,1,0.5,0.0700145,0.236964,0.124236,0.138549,-0.20016,-0.0844275,-0.100299,-0.218531
61,ok,0.00406442,0.0183781,1.87363,0.0275764,0.0564477,0.0804186,0.214106,0.00456237,0.017238,0.740877,0.0150679,-0.126794,1.4519,10.5,queda,1,35,1,17.5,0.117326,-0.03692,-0.314678,1,0.5,0.0901601,0.131088,0.074677,0.248568,-0.191719,-0.0389802,-0.0672641,0.094298
62,ok,0.00727526,0.0137889,2.27875,0.0281787,0.0590295,0.109274,0.404381,0.00826429,-0.00478148,0.109785,0.000653751,-0.00438785,1.6172,14.75,queda,1,97,3,19,0.112111,-0.0674,-0.601191,2,0.25,0.120626,0.106109,0.208908,0.136947,-0.166066,-0.109454,-0.193404,-0.129197
63,ok,0.00995283,0.015635,3.23532,0.0314982,0.0679351,0.138125,0.404381,0.0120458,0.0217446,0.396684,0.00500549,-0.0320686,1.7909,20,queda,1,122,2,21,0.096889,-0.03384,-0.349266,2,0.25,0.141087,0.279817,0.253486,0.233083,-0.176833,-0.0450629,-0.195453,-0.167668
64,descartado_t_min,0.0292064,0.0252226,4.10077,0.045655,0.0937459,0.134015,0.209293,9.98756e-05,0.0134016,0.766254,0.0119303,-0.0986021,,,,,,,,,,,,,,,,,,,,
65,ok,0.0169232,0.00214869,3.1286,0.0250529,0.0562842,0.10686,0.292455,0.010234,-0.00933539,0.377558,0.00497585,-0.0456497,1.1795,10.125,falha_conv,0,124,6,10.125,0.113899,0.103733,0.910752,3,0.125,0.183974,0.0830195,0.062757,0.245031,-0.0655544,-0.288095,-0.0403866,-0.121187
66,ok,0.00705265,0.00429485,2.2975,0.0210697,0.0464032,0.101966,0.41017,0.00895395,-0.00579881,0.842274,-0.00579024,0.0562092,1.4493,14.5,queda,1,42,3,22,0.107515,0.0083,0.0771988,1,0.5,0.118766,0.119801,0.198727,0.062011,-0.0926807,-0.137456,-0.122999,-0.236952
67,ok,0.00463628,0.0125938,1.95319,0.0251132,0.0529066,0.0949018,0.387099,0.0101609,0.0129125,0.527475,0.00076574,0.0142015,1.3614,12.5,queda,1,27,2,14,0.109414,-0.03004,-0.274554,1,0.5,0.0962942,0.115764,0.255866,0.121754,-0.158706,-0.0936625,-0.0296885,-0.225186
68,ok,0.0244455,0.0118303,3.99402,0.0368048,0.0765131,0.122206,0.294243,0.00713372,0.0143248,0.482332,0.00610711,-0.039712,2.0716,19,queda,1,55,6,30,0.1164,0.01828,0.157045,1,0.5,0.221113,0.153617,0.239467,0.150105,-0.15382,-0.11391,-0.109368,-0.0792435
69,ok,0.0288198,0.00870587,4.10705,0.0363387,0.0741275,0.111047,0.283564,0.0077291,0.0124418,0.163494,0.000800631,0.00352839,1.8626,18,queda,1,43,3,22.5,0.11519,-0.129914,-1.12783,1,0.5,0.240082,0.10587,0.228883,0.105107,-0.131954,-0.0971505,-0.117594,-0.14658
70,descartado_t_min,0.0259402,0.00189851,3.78503,0.0282069,0.0571474,0.0856374,0.294243,0.00130755,0.0172735,0.102528,0.00543204,-0.0634916,,,,,,,,,,,,,,,,,,,,
71,ok,0.0186113,0.028411,3.76126,0.0422187,0.0865528,0.122502,0.206107,0.00586583,0.0190031,0.476447,0.00774095,-0.053378,2.161,19,queda,1,59,1,30,0.118725,-0.0175,-0.1474,1,0.5,0.192931,0.21433,0.138452,0.155943,-0.238374,-0.0545533,-0.0349961,-0.0430994
72,descartado_t_min,0.0270533,0.0170306,3.81781,0.0405116,0.0806815,0.107088,0.190453,0.000893194,0.00507095,0.842274,0.00506307,-0.0489457,,,,,,,,,,,,,,,,,,,,
73,descartado_t_min,0.0299959,0.0164408,4.61488,0.0417997,0.0864017,0.128427,0.233746,0.0018489,0.0169237,0.248867,0.0103637,-0.0950403,,,,,,,,,,,,,,,,,,,,
74,ok,0.0147423,0.0237739,2.90226,0.0384539,0.0814567,0.14018,0.321427,0.0111826,-0.0258484,0.35862,-0.000887272,-0.0100642,1.8703,19.5,queda,1,57,2,30,0.11448,0.02106,0.183962,1,0.5,0.171711,0.0690607,0.113931,0.224401,-0.218054,-0.275352,-0.252944,-0.152171
75,ok,0.0161385,0.0178574,3.41859,0.0367049,0.0803413,0.149743,0.308658,0.00576725,0.018098,0.790707,0.0169214,-0.145785,2.1814,20,queda,1,61,0,30,0.11946,0.0146,0.122216,1,0.5,0.179658,0.172914,0.182852,0.287113,-0.188984,-0.26796,-0.159623,0.108008
76,ok,0.0150831,0.0193954,3.69519,0.0371714,0.0834155,0.167906,0.325101,0.011003,0.0117266,0.549009,0.00277172,-0.00675655,1.8248,20,queda,1,60,0,29.5,0.107644,-0.13912,-1.29241,1,0.5,0.173684,0.26889,0.262553,0.168562,-0.196954,-0.266427,-0.0729481,-0.203773
77,ok,0.0104859,0.00494171,2.83583,0.0243277,0.0534288,0.109265,0.371855,0.00880677,0.0118129,0.779416,0.0109801,-0.0956932,nan,nan,vazia,0,0,0,nan,nan,nan,nan,2,0.25,0.144817,0.161683,0.141712,0.281332,-0.0994154,-0.133051,-0.164656,-0.0135361
78,ok,0.00555723,0.0107195,2.63727,0.0255231,0.0592446,0.125445,0.310474,0.00596928,0.0174294,0.605236,0.0114499,-0.086995,1.6463,14,queda,1,44,1,22,0.115603,-0.28012,-2.42311,1,0.5,0.105425,0.272331,0.142686,0.204102,-0.146421,-0.183068,-0.0390713,0.00256418
79,ok,0.00583765,0.00200288,2.04333,0.0175952,0.0429861,0.130107,0.41017,0.00491943,0.0160722,0.771221,0.0142626,-0.115869,1.3227,10,queda,1,25,0,12,0.115511,-0.11552,-1.00008,1,0.5,0.108052,0.0887777,0.292012,0.211553,-0.0632911,-0.296913,-0.160274,0.0737767
80,ok,0.0188255,0.0246733,3.71213,0.040697,0.0831886,0.118584,0.217337,0.00641173,0.0198211,0.445133,0.00196698,0.00290809,2.0531,19.5,queda,1,57,3,30,0.118131,-0.0049,-0.0414795,1,0.5,0.194039,0.191957,0.206478,0.0753566,-0.222141,-0.0527216,-0.0239236,-0.138538
81,ok,0.0182097,0.0131661,3.19276,0.0349009,0.0744723,0.132332,0.321427,0.00617019,-0.0148379,0.330631,0.00410463,-0.0395806,2.0455,20,queda,1,58,3,30,0.119985,0.01292,0.10768,1,0.5,0.190838,0.0636445,0.192795,0.151131,-0.162272,-0.269674,-0.184257,-0.0398975
82,descartado_t_min,0.0171615,0.0225409,3.54501,0.0389192,0.079829,0.113414,0.206107,-0.000314166,0.0153479,0.531395,0.00995671,-0.0784932,,,,,,,,,,,,,,,,,,,,
83,ok,0.0277353,0.0256635,4.67862,0.045944,0.100061,0.183623,0.306846,0.0080245,0.00913118,0.820222,0.00896399,-0.0830259,1.8811,19.5,queda,1,59,2,30,0.118559,-0.02754,-0.232289,1,0.5,0.235522,0.285287,0.171455,0.251468,-0.226555,-0.245412,-0.248703,-0.00325148
84,ok,0.016071,0.00908354,3.82254,0.0314855,0.0707327,0.152204,0.354858,0.00669644,0.0113241,0.227132,0.00315776,-0.0325085,1.8192,19,queda,1,57,3,30,0.115697,-0.00522,-0.045118,1,0.5,0.179282,0.286571,0.166083,0.159023,-0.134785,-0.161335,-0.260946,-0.0463829
85,ok,0.0207215,0.00279975,3.9498,0.0276172,0.0597946,0.115853,0.34736,0.003878,0.0209568,0.204521,0.00708745,-0.0624348,1.7493,15,queda,1,58,2,30,0.118801,0.02226,0.187372,1,0.5,0.203576,0.220318,0.156321,0.145529,-0.0748298,-0.0761011,-0.21506,0.0382904
86,ok,0.0175963,0.00328564,3.17745,0.0264277,0.0555591,0.104744,0.394764,0.00569781,0.00910206,0.0726573,0.00263731,-0.0287726,1.7087,15.25,topo_achatado,1,92,0,15.25,0.117275,0.0248,0.211469,2,0.25,0.187597,0.0741257,0.17609,0.133324,-0.0810634,-0.134886,-0.229151,-0.0380341
87,ok,0.0306433,0.00897406,4.54295,0.0375848,0.0790054,0.124796,0.262572,0.010908,0.0198662,0.462728,0.0117331,-0.0884023,1.9527,18,queda,1,57,2,30,0.111576,0.00964,0.0863986,1,0.5,0.247562,0.197744,0.168412,0.293742,-0.133971,-0.121233,-0.0528087,-0.0864104
88,ok,0.0333584,0.00516459,4.76275,0.0359066,0.079151,0.152277,0.319595,0.00695696,0.0152498,0.0966487,0.00776004,-0.0694355,1.7893,16.5,queda,1,55,5,30,0.119942,0.03896,0.324824,1,0.5,0.258296,0.21346,0.164008,0.209915,-0.101633,-0.240575,-0.189642,-0.0119288
