perfil,x,y
partida,0.03843872,-0.04484009
partida,0.03546128,-0.04328284
partida,0.03259962,-0.04169804
partida,0.02985444,-0.04008657
partida,0.02722644,-0.03844932
partida,0.02471626,-0.03678721
partida,0.02232452,-0.03510122
partida,0.02005184,-0.03339235
partida,0.01789877,-0.03166160
partida,0.01586585,-0.02991003
partida,0.01395358,-0.02813873
partida,0.01216245,-0.02634879
partida,0.01049290,-0.02454134
partida,0.00894534,-0.02271754
partida,0.00752016,-0.02087855
partida,0.00621772,-0.01902557
partida,0.00503834,-0.01715982
partida,0.00398232,-0.01528251
partida,0.00304991,-0.01339490
partida,0.00224136,-0.01149824
partida,0.00155685,-0.00959380
partida,0.00099657,-0.00768286
partida,0.00056065,-0.00576671
partida,0.00024921,-0.00384665
partida,0.00006231,-0.00192398
partida,0.00000000,-0.00000000
partida,0.00006231,0.00202289
partida,0.00024921,0.00404503
partida,0.00056065,0.00606567
partida,0.00099657,0.00808406
partida,0.00155685,0.01009943
partida,0.00224136,0.01211103
partida,0.00304991,0.01411811
partida,0.00398232,0.01611990
partida,0.00503834,0.01811563
partida,0.00621772,0.02010455
partida,0.00752016,0.02208586
partida,0.00894534,0.02405880
partida,0.01049290,0.02602258
partida,0.01216245,0.02797641
partida,0.01395358,0.02991951
partida,0.01586585,0.03185107
partida,0.01789877,0.03377029
partida,0.02005184,0.03567636
partida,0.02232452,0.03756847
partida,0.02471626,0.03944580
partida,0.02722644,0.04130752
partida,0.02985444,0.04315283
partida,0.03259962,0.04498087
partida,0.03546128,0.04679082
partida,0.03843872,0.04858185
partida,0.04153119,0.05035311
partida,0.04473791,0.05210376
partida,0.04805810,0.05383298
partida,0.05149092,0.05553991
partida,0.05503552,0.05722371
partida,0.05869101,0.05888357
partida,0.06245649,0.06051863
partida,0.06633101,0.06212807
partida,0.07031361,0.06371108
partida,0.07440330,0.06526683
partida,0.07859905,0.06679451
partida,0.08289983,0.06829334
partida,0.08730456,0.06976251
partida,0.09181214,0.07120126
partida,0.09642145,0.07260883
partida,0.10113134,0.07398445
partida,0.10594063,0.07532742
partida,0.11084814,0.07663700
partida,0.11585262,0.07791251
partida,0.12095285,0.07915328
partida,0.12614754,0.08035864
partida,0.13143541,0.08152798
partida,0.13681512,0.08266068
partida,0.14228536,0.08375617
partida,0.14784474,0.08481390
partida,0.15349188,0.08583335
partida,0.15922539,0.08681401
partida,0.16504382,0.08775544
partida,0.17094573,0.08865720
partida,0.17692964,0.08951890
partida,0.18299408,0.09034017
partida,0.18913751,0.09112068
partida,0.19535842,0.09186014
partida,0.20165526,0.09255830
partida,0.20802644,0.09321494
partida,0.21447040,0.09382987
partida,0.22098551,0.09440295
partida,0.22757016,0.09493408
partida,0.23422270,0.09542319
partida,0.24094148,0.09587026
partida,0.24772483,0.09627529
partida,0.25457105,0.09663834
partida,0.26147843,0.09695949
partida,0.26844526,0.09723888
partida,0.27546979,0.09747667
partida,0.28255029,0.09767306
partida,0.28968497,0.09782829
partida,0.29687207,0.09794265
partida,0.30410980,0.09801644
partida,0.31139634,0.09805002
partida,0.31872989,0.09804377
partida,0.32610862,0.09799810
partida,0.33353068,0.09791346
partida,0.34099423,0.09779033
partida,0.34849741,0.09762922
partida,0.35603835,0.09743067
partida,0.36361516,0.09719524
partida,0.37122596,0.09692352
partida,0.37886886,0.09661613
partida,0.38654195,0.09627371
partida,0.39424331,0.09589690
partida,0.40197103,0.09548641
partida,0.40972317,0.09504291
partida,0.41749782,0.09456712
partida,0.42529303,0.09405977
partida,0.43310686,0.09352161
partida,0.44093736,0.09295339
partida,0.44878258,0.09235587
partida,0.45664056,0.09172982
partida,0.46450935,0.09107602
partida,0.47238698,0.09039527
partida,0.48027150,0.08968834
partida,0.48816093,0.08895603
partida,0.49605332,0.08819913
partida,0.50394668,0.08741843
partida,0.51183907,0.08661473
partida,0.51972850,0.08578882
partida,0.52761302,0.08494146
partida,0.53549065,0.08407346
partida,0.54335944,0.08318557
partida,0.55121742,0.08227857
partida,0.55906264,0.08135320
partida,0.56689314,0.08041023
partida,0.57470697,0.07945038
partida,0.58250218,0.07847439
partida,0.59027683,0.07748298
partida,0.59802897,0.07647685
partida,0.60575669,0.07545671
partida,0.61345805,0.07442322
partida,0.62113114,0.07337707
partida,0.62877404,0.07231892
partida,0.63638484,0.07124941
partida,0.64396165,0.07016918
partida,0.65150259,0.06907885
partida,0.65900577,0.06797905
partida,0.66646932,0.06687036
partida,0.67389138,0.06575338
partida,0.68127011,0.06462870
partida,0.68860366,0.06349688
partida,0.69589020,0.06235848
partida,0.70312793,0.06121407
partida,0.71031503,0.06006418
partida,0.71744971,0.05890935
partida,0.72453021,0.05775012
partida,0.73155474,0.05658702
partida,0.73852157,0.05542056
partida,0.74542895,0.05425127
partida,0.75227517,0.05307966
partida,0.75905852,0.05190625
partida,0.76577730,0.05073156
partida,0.77242984,0.04955609
partida,0.77901449,0.04838036
partida,0.78552960,0.04720489
partida,0.79197356,0.04603020
partida,0.79834474,0.04485681
partida,0.80464158,0.04368524
partida,0.81086249,0.04251604
partida,0.81700592,0.04134974
partida,0.82307036,0.04018689
partida,0.82905427,0.03902803
partida,0.83495618,0.03787373
partida,0.84077461,0.03672456
partida,0.84650812,0.03558109
partida,0.85215526,0.03444391
partida,0.85771464,0.03331361
partida,0.86318488,0.03219079
partida,0.86856459,0.03107608
partida,0.87385246,0.02997009
partida,0.87904715,0.02887347
partida,0.88414738,0.02778684
partida,0.88915186,0.02671086
partida,0.89405937,0.02564620
partida,0.89886866,0.02459352
partida,0.90357855,0.02355350
partida,0.90818786,0.02252682
partida,0.91269544,0.02151417
partida,0.91710017,0.02051626
partida,0.92140095,0.01953378
partida,0.92559670,0.01856744
partida,0.92968639,0.01761795
partida,0.93366899,0.01668602
partida,0.93754351,0.01577236
partida,0.94130899,0.01487770
partida,0.94496448,0.01400273
partida,0.94850908,0.01314816
partida,0.95194190,0.01231471
partida,0.95526209,0.01150308
partida,0.95846881,0.01071395
partida,0.96156128,0.00994800
partida,0.96453872,0.00920593
partida,0.96740038,0.00848838
partida,0.97014556,0.00779602
partida,0.97277356,0.00712947
